"Game Title";"Console";"Year";"Genre";"Game_Company";"Type";"Console_Company";"Console Release Year";"Console Disco Year";"Consoles sold (million)";"North America_Sales";"Europe_Sales";"Japan_Sales";"Global_Sales"
"Wii Sports";"Nintendo Wii";2006;"Sports";"Nintendo";"Home";"Nintendo";2006;2013;101.63;41.49;29.02;3.77;82.74
"Super Mario Bros.";"Nintendo NES";1985;"Platform";"Nintendo";"Home";"Nintendo";1983;2003;61.91;29.08;3.58;6.81;40.24
"Mario Kart Wii";"Nintendo Wii";2008;"Racing";"Nintendo";"Home";"Nintendo";2006;2013;101.63;41.49;29.02;3.77;82.74
"Wii Sports Resort";"Nintendo Wii";2009;"Sports";"Nintendo";"Home";"Nintendo";2006;2013;101.63;41.49;29.02;3.77;82.74
"Pokemon Red/Pokemon Blue";"Gameboy";1996;"Role-Playing";"Nintendo";"Handheld";"Nintendo";1989;2003;64.42;11.27;8.89;10.22;31.37
"Tetris";"Gameboy";1989;"Puzzle";"Nintendo";"Handheld";"Nintendo";1989;2003;64.42;11.27;8.89;10.22;31.37
"New Super Mario Bros.";"Nintendo DS";2006;"Platform";"Nintendo";"Handheld";"Nintendo";2004;2013;154.02;11.38;9.23;6.5;30.01
"Wii Play";"Nintendo Wii";2006;"Misc";"Nintendo";"Home";"Nintendo";2006;2013;101.63;41.49;29.02;3.77;82.74
"New Super Mario Bros. Wii";"Nintendo Wii";2009;"Platform";"Nintendo";"Home";"Nintendo";2006;2013;101.63;41.49;29.02;3.77;82.74
"Duck Hunt";"Nintendo NES";1984;"Shooter";"Nintendo";"Home";"Nintendo";1983;2003;61.91;29.08;3.58;6.81;40.24
"Nintendogs";"Nintendo DS";2005;"Simulation";"Nintendo";"Handheld";"Nintendo";2004;2013;154.02;11.38;9.23;6.5;30.01
"Mario Kart DS";"Nintendo DS";2005;"Racing";"Nintendo";"Handheld";"Nintendo";2004;2013;154.02;11.38;9.23;6.5;30.01
"Pokemon Gold/Pokemon Silver";"Gameboy";1999;"Role-Playing";"Nintendo";"Handheld";"Nintendo";1989;2003;64.42;11.27;8.89;10.22;31.37
"Wii Fit";"Nintendo Wii";2007;"Sports";"Nintendo";"Home";"Nintendo";2006;2013;101.63;41.49;29.02;3.77;82.74
"Wii Fit Plus";"Nintendo Wii";2009;"Sports";"Nintendo";"Home";"Nintendo";2006;2013;101.63;41.49;29.02;3.77;82.74
"Kinect Adventures!";"XBOX 360";2010;"Misc";"Microsoft Game Studios";"Home";"Microsoft";2005;2016;84.0;14.97;4.94;0.24;21.82
"Grand Theft Auto V";"PS3";2013;"Action";"Take-Two Interactive";"Home";"Sony";2006;2017;87.4;7.01;9.27;0.97;21.4
"Grand Theft Auto: San Andreas";"PS2";2004;"Action";"Take-Two Interactive";"Home";"Sony";2000;2013;155.0;9.43;0.4;0.41;20.81
"Super Mario World";"Super Nintendo";1990;"Platform";"Nintendo";"Home";"Nintendo";1990;2003;49.1;12.78;3.75;3.54;20.61
"Brain Age: Train Your Brain in Minutes a Day";"Nintendo DS";2005;"Misc";"Nintendo";"Handheld";"Nintendo";2004;2013;154.02;11.38;9.23;6.5;30.01
"Pokemon Diamond/Pokemon Pearl";"Nintendo DS";2006;"Role-Playing";"Nintendo";"Handheld";"Nintendo";2004;2013;154.02;11.38;9.23;6.5;30.01
"Super Mario Land";"Gameboy";1989;"Platform";"Nintendo";"Handheld";"Nintendo";1989;2003;64.42;11.27;8.89;10.22;31.37
"Super Mario Bros. 3";"Nintendo NES";1988;"Platform";"Nintendo";"Home";"Nintendo";1983;2003;61.91;29.08;3.58;6.81;40.24
"Grand Theft Auto V";"XBOX 360";2013;"Action";"Take-Two Interactive";"Home";"Microsoft";2005;2016;84.0;14.97;4.94;0.24;21.82
"Grand Theft Auto: Vice City";"PS2";2002;"Action";"Take-Two Interactive";"Home";"Sony";2000;2013;155.0;9.43;0.4;0.41;20.81
"Pokemon Black/Pokemon White";"Nintendo DS";2010;"Role-Playing";"Nintendo";"Handheld";"Nintendo";2004;2013;154.02;11.38;9.23;6.5;30.01
"Brain Age 2: More Training in Minutes a Day";"Nintendo DS";2005;"Puzzle";"Nintendo";"Handheld";"Nintendo";2004;2013;154.02;11.38;9.23;6.5;30.01
"Gran Turismo 3: A-Spec";"PS2";2001;"Racing";"Sony Computer Entertainment";"Home";"Sony";2000;2013;155.0;9.43;0.4;0.41;20.81
"Call of Duty: Modern Warfare 3";"XBOX 360";2011;"Shooter";"Activision";"Home";"Microsoft";2005;2016;84.0;14.97;4.94;0.24;21.82
"Pokémon Yellow: Special Pikachu Edition";"Gameboy";1998;"Role-Playing";"Nintendo";"Handheld";"Nintendo";1989;2003;64.42;11.27;8.89;10.22;31.37
"Call of Duty: Black Ops";"XBOX 360";2010;"Shooter";"Activision";"Home";"Microsoft";2005;2016;84.0;14.97;4.94;0.24;21.82
"Pokemon X/Pokemon Y";"Nintendo 3DS";2013;"Role-Playing";"Nintendo";"Handheld";"Nintendo";2011;2020;75.94;5.17;4.05;4.34;14.35
"Call of Duty: Black Ops 3";"PS4";2015;"Shooter";"Activision";"Home";"Sony";2013;0;117.2;5.77;5.81;0.35;14.24
"Call of Duty: Black Ops II";"PS3";2012;"Shooter";"Activision";"Home";"Sony";2006;2017;87.4;7.01;9.27;0.97;21.4
"Call of Duty: Black Ops II";"XBOX 360";2012;"Shooter";"Activision";"Home";"Microsoft";2005;2016;84.0;14.97;4.94;0.24;21.82
"Call of Duty: Modern Warfare 2";"XBOX 360";2009;"Shooter";"Activision";"Home";"Microsoft";2005;2016;84.0;14.97;4.94;0.24;21.82
"Call of Duty: Modern Warfare 3";"PS3";2011;"Shooter";"Activision";"Home";"Sony";2006;2017;87.4;7.01;9.27;0.97;21.4
"Grand Theft Auto III";"PS2";2001;"Action";"Take-Two Interactive";"Home";"Sony";2000;2013;155.0;9.43;0.4;0.41;20.81
"Super Smash Bros. Brawl";"Nintendo Wii";2008;"Fighting";"Nintendo";"Home";"Nintendo";2006;2013;101.63;41.49;29.02;3.77;82.74
"Call of Duty: Black Ops";"PS3";2010;"Shooter";"Activision";"Home";"Sony";2006;2017;87.4;7.01;9.27;0.97;21.4
"Animal Crossing: Wild World";"Nintendo DS";2005;"Simulation";"Nintendo";"Handheld";"Nintendo";2004;2013;154.02;11.38;9.23;6.5;30.01
"Mario Kart 7";"Nintendo 3DS";2011;"Racing";"Nintendo";"Handheld";"Nintendo";2011;2020;75.94;5.17;4.05;4.34;14.35
"Halo 3";"XBOX 360";2007;"Shooter";"Microsoft Game Studios";"Home";"Microsoft";2005;2016;84.0;14.97;4.94;0.24;21.82
"Grand Theft Auto V";"PS4";2014;"Action";"Take-Two Interactive";"Home";"Sony";2013;0;117.2;5.77;5.81;0.35;14.24
"Pokemon HeartGold/Pokemon SoulSilver";"Nintendo DS";2009;"Action";"Nintendo";"Handheld";"Nintendo";2004;2013;154.02;11.38;9.23;6.5;30.01
"Super Mario 64";"Nintendo 64";1996;"Platform";"Nintendo";"Home";"Nintendo";1996;2002;32.93;6.91;2.85;1.91;11.89
"Gran Turismo 4";"PS2";2004;"Racing";"Sony Computer Entertainment";"Home";"Sony";2000;2013;155.0;9.43;0.4;0.41;20.81
"Super Mario Galaxy";"Nintendo Wii";2007;"Platform";"Nintendo";"Home";"Nintendo";2006;2013;101.63;41.49;29.02;3.77;82.74
"Pokemon Omega Ruby/Pokemon Alpha Sapphire";"Nintendo 3DS";2014;"Role-Playing";"Nintendo";"Handheld";"Nintendo";2011;2020;75.94;5.17;4.05;4.34;14.35
"Super Mario Land 2: 6 Golden Coins";"Gameboy";1992;"Adventure";"Nintendo";"Handheld";"Nintendo";1989;2003;64.42;11.27;8.89;10.22;31.37
"Grand Theft Auto IV";"XBOX 360";2008;"Action";"Take-Two Interactive";"Home";"Microsoft";2005;2016;84.0;14.97;4.94;0.24;21.82
"Gran Turismo";"PS";1997;"Racing";"Sony Computer Entertainment";"Home";"Sony";1994;2006;102.49;4.02;3.87;2.54;10.95
"Super Mario 3D Land";"Nintendo 3DS";2011;"Platform";"Nintendo";"Handheld";"Nintendo";2011;2020;75.94;5.17;4.05;4.34;14.35
"Gran Turismo 5";"PS3";2010;"Racing";"Sony Computer Entertainment";"Home";"Sony";2006;2017;87.4;7.01;9.27;0.97;21.4
"Call of Duty: Modern Warfare 2";"PS3";2009;"Shooter";"Activision";"Home";"Sony";2006;2017;87.4;7.01;9.27;0.97;21.4
"Grand Theft Auto IV";"PS3";2008;"Action";"Take-Two Interactive";"Home";"Sony";2006;2017;87.4;7.01;9.27;0.97;21.4
"Super Mario All-Stars";"Super Nintendo";1993;"Platform";"Nintendo";"Home";"Nintendo";1990;2003;49.1;12.78;3.75;3.54;20.61
"Super Mario 64";"Nintendo DS";2004;"Platform";"Nintendo";"Handheld";"Nintendo";2004;2013;154.02;11.38;9.23;6.5;30.01
