"Game Title";"Console";"Year";"Genre";"Company";"North America_Sales";"Europe_Sales";"Japan_Sales";"Global_Sales"
"Wii Sports";"Nintendo Wii";2006;"Sports";"Nintendo";41.49;29.02;3.77;82.74
"Super Mario Bros.";"Nintendo NES";1985;"Platform";"Nintendo";29.08;3.58;6.81;40.24
"Mario Kart Wii";"Nintendo Wii";2008;"Racing";"Nintendo";15.85;12.88;3.79;35.82
"Wii Sports Resort";"Nintendo Wii";2009;"Sports";"Nintendo";15.75;11.01;3.28;33.0
"Pokemon Red/Pokemon Blue";"Gameboy";1996;"Role-Playing";"Nintendo";11.27;8.89;10.22;31.37
"Tetris";"Gameboy";1989;"Puzzle";"Nintendo";23.2;2.26;4.22;30.26
"New Super Mario Bros.";"Nintendo DS";2006;"Platform";"Nintendo";11.38;9.23;6.5;30.01
"Wii Play";"Nintendo Wii";2006;"Misc";"Nintendo";14.03;9.2;2.93;29.02
"New Super Mario Bros. Wii";"Nintendo Wii";2009;"Platform";"Nintendo";14.59;7.06;4.7;28.62
"Duck Hunt";"Nintendo NES";1984;"Shooter";"Nintendo";26.93;0.63;0.28;28.31
"Nintendogs";"Nintendo DS";2005;"Simulation";"Nintendo";9.07;11.0;1.93;24.76
"Mario Kart DS";"Nintendo DS";2005;"Racing";"Nintendo";9.81;7.57;4.13;23.42
"Pokemon Gold/Pokemon Silver";"Gameboy";1999;"Role-Playing";"Nintendo";9.0;6.18;7.2;23.1
"Wii Fit";"Nintendo Wii";2007;"Sports";"Nintendo";8.94;8.03;3.6;22.72
"Wii Fit Plus";"Nintendo Wii";2009;"Sports";"Nintendo";9.09;8.59;2.53;22.0
"Kinect Adventures!";"XBOX 360";2010;"Misc";"Microsoft Game Studios";14.97;4.94;0.24;21.82
"Grand Theft Auto V";"PS3";2013;"Action";"Take-Two Interactive";7.01;9.27;0.97;21.4
"Grand Theft Auto: San Andreas";"PS2";2004;"Action";"Take-Two Interactive";9.43;0.4;0.41;20.81
"Super Mario World";"Super Nintendo";1990;"Platform";"Nintendo";12.78;3.75;3.54;20.61
"Brain Age: Train Your Brain in Minutes a Day";"Nintendo DS";2005;"Misc";"Nintendo";4.75;9.26;4.16;20.22
"Pokemon Diamond/Pokemon Pearl";"Nintendo DS";2006;"Role-Playing";"Nintendo";6.42;4.52;6.04;18.36
"Super Mario Land";"Gameboy";1989;"Platform";"Nintendo";10.83;2.71;4.18;18.14
"Super Mario Bros. 3";"Nintendo NES";1988;"Platform";"Nintendo";9.54;3.44;3.84;17.28
"Grand Theft Auto V";"XBOX 360";2013;"Action";"Take-Two Interactive";9.63;5.31;0.06;16.38
"Grand Theft Auto: Vice City";"PS2";2002;"Action";"Take-Two Interactive";8.41;5.49;0.47;16.15
"Pokemon Ruby/Pokemon Sapphire";"Gameboy Advanced";2002;"Role-Playing";"Nintendo";6.06;3.9;5.38;15.85
"Pokemon Black/Pokemon White";"Nintendo DS";2010;"Role-Playing";"Nintendo";5.57;3.28;5.65;15.32
"Brain Age 2: More Training in Minutes a Day";"Nintendo DS";2005;"Puzzle";"Nintendo";3.44;5.36;5.32;15.3
"Gran Turismo 3: A-Spec";"PS2";2001;"Racing";"Sony Computer Entertainment";6.85;5.09;1.87;14.98
"Call of Duty: Modern Warfare 3";"XBOX 360";2011;"Shooter";"Activision";9.03;4.28;0.13;14.76
"Pokémon Yellow: Special Pikachu Edition";"Gameboy";1998;"Role-Playing";"Nintendo";5.89;5.04;3.12;14.64
"Call of Duty: Black Ops";"XBOX 360";2010;"Shooter";"Activision";9.67;3.73;0.11;14.64
"Pokemon X/Pokemon Y";"Nintendo 3DS";2013;"Role-Playing";"Nintendo";5.17;4.05;4.34;14.35
"Call of Duty: Black Ops 3";"PS4";2015;"Shooter";"Activision";5.77;5.81;0.35;14.24
"Call of Duty: Black Ops II";"PS3";2012;"Shooter";"Activision";4.99;5.88;0.65;14.03
"Call of Duty: Black Ops II";"XBOX 360";2012;"Shooter";"Activision";8.25;4.3;0.07;13.73
"Call of Duty: Modern Warfare 2";"XBOX 360";2009;"Shooter";"Activision";8.52;3.63;0.08;13.51
"Call of Duty: Modern Warfare 3";"PS3";2011;"Shooter";"Activision";5.54;5.82;0.49;13.46
"Grand Theft Auto III";"PS2";2001;"Action";"Take-Two Interactive";6.99;4.51;0.3;13.1
"Super Smash Bros. Brawl";"Nintendo Wii";2008;"Fighting";"Nintendo";6.75;2.61;2.66;13.04
"Call of Duty: Black Ops";"PS3";2010;"Shooter";"Activision";5.98;4.44;0.48;12.73
"Animal Crossing: Wild World";"Nintendo DS";2005;"Simulation";"Nintendo";2.55;3.52;5.33;12.27
"Mario Kart 7";"Nintendo 3DS";2011;"Racing";"Nintendo";4.74;3.91;2.67;12.21
"Halo 3";"XBOX 360";2007;"Shooter";"Microsoft Game Studios";7.97;2.83;0.13;12.14
"Grand Theft Auto V";"PS4";2014;"Action";"Take-Two Interactive";3.8;5.81;0.36;11.98
"Pokemon HeartGold/Pokemon SoulSilver";"Nintendo DS";2009;"Action";"Nintendo";4.4;2.77;3.96;11.9
"Super Mario 64";"Nintendo 64";1996;"Platform";"Nintendo";6.91;2.85;1.91;11.89
"Gran Turismo 4";"PS2";2004;"Racing";"Sony Computer Entertainment";3.01;0.01;1.1;11.66
"Super Mario Galaxy";"Nintendo Wii";2007;"Platform";"Nintendo";6.16;3.4;1.2;11.52
"Pokemon Omega Ruby/Pokemon Alpha Sapphire";"Nintendo 3DS";2014;"Role-Playing";"Nintendo";4.23;3.37;3.08;11.33
"Super Mario Land 2: 6 Golden Coins";"Gameboy";1992;"Adventure";"Nintendo";6.16;2.04;2.69;11.18
"Grand Theft Auto IV";"XBOX 360";2008;"Action";"Take-Two Interactive";6.76;3.1;0.14;11.02
"Gran Turismo";"PS";1997;"Racing";"Sony Computer Entertainment";4.02;3.87;2.54;10.95
"Super Mario 3D Land";"Nintendo 3DS";2011;"Platform";"Nintendo";4.89;2.99;2.13;10.79
"Gran Turismo 5";"PS3";2010;"Racing";"Sony Computer Entertainment";2.96;4.88;0.81;10.77
"Call of Duty: Modern Warfare 2";"PS3";2009;"Shooter";"Activision";4.99;3.69;0.38;10.69
"Grand Theft Auto IV";"PS3";2008;"Action";"Take-Two Interactive";4.76;3.76;0.44;10.57
"Super Mario All-Stars";"Super Nintendo";1993;"Platform";"Nintendo";5.99;2.15;2.12;10.55
"Pokemon FireRed/Pokemon LeafGreen";"Gameboy Advanced";2004;"Role-Playing";"Nintendo";4.34;2.65;3.15;10.49
"Super Mario 64";"Nintendo DS";2004;"Platform";"Nintendo";5.08;3.11;1.25;10.42
"Just Dance 3";"Nintendo Wii";2011;"Misc";"Ubisoft";6.05;3.15;0.0;10.26
"Call of Duty: Ghosts";"XBOX 360";2013;"Shooter";"Activision";6.72;2.63;0.04;10.21
"Halo: Reach";"XBOX 360";2010;"Shooter";"Microsoft Game Studios";7.03;1.98;0.08;9.88
